t,y
1.4004,4.07197
1.4018,4.08001
1.4032,4.08806
1.4046,4.09611
1.406,4.10416
1.4074,4.11221
1.4088,4.12026
1.4102,4.12831
1.4116,4.13636
1.413,4.1444
1.4144,4.15245
1.4158,4.1605
1.4172,4.16855
1.4186,4.1766
1.42,4.18465
1.4214,4.1927
1.4228,4.20075
1.4242,4.2088
1.4256,4.21684
1.427,4.22489
1.4284,4.23294
1.4298,4.24099
1.4312,4.24904
1.4326,4.25709
1.434,4.26514
1.4354,4.27319
1.4368,4.28123
1.4382,4.28928
1.4396,4.29733
1.441,4.30538
1.4424,4.31343
1.4438,4.32148
1.4452,4.32953
1.4466,4.33758
1.448,4.34563
1.4494,4.35367
1.4508,4.36172
1.4522,4.36977
1.4536,4.37782
1.455,4.38587
1.4564,4.39392
1.4578,4.40197
1.4592,4.41002
1.4606,4.41807
1.462,4.42611
1.4634,4.43416
1.4648,4.44221
1.4662,4.45026
1.4676,4.45831
1.469,4.46636
1.4704,4.47441
1.4718,4.48246
1.4732,4.4905
1.4746,4.49855
1.476,4.5066
1.4774,4.51465
1.4788,4.5227
1.4802,4.53075
1.4816,4.5388
1.483,4.54685
1.4844,4.5549
1.4858,4.56294
1.4872,4.57099
1.4886,4.57904
1.49,4.58709
1.4914,4.59514
1.4928,4.60319
1.4942,4.61124
1.4956,4.61929
1.497,4.62733
1.4984,4.63538
1.4998,4.64343
1.5012,4.65148
1.5026,4.65953
1.504,4.66758
1.5054,4.67563
1.5068,4.68368
1.5082,4.69173
1.5096,4.69977
1.511,4.70782
1.5124,4.71587
1.5138,4.72392
1.5152,4.73197
1.5166,4.74002
1.518,4.74807
1.5194,4.75612
1.5208,4.76417
1.5222,4.77221
1.5236,4.78026
1.525,4.78831
1.5264,4.79636
1.5278,4.80441
1.5292,4.81246
1.5306,4.82051
1.532,4.82856
1.5334,4.8366
1.5348,4.84465
1.5362,4.8527
1.5376,4.86075
1.539,4.8688
1.5404,4.87685
1.5418,4.8849
1.5432,4.89295
1.5446,4.901
1.546,4.90904
1.5474,4.91709
1.5488,4.92514
1.5502,4.93319
1.5516,4.94124
1.553,4.94929
1.5544,4.95734
1.5558,4.96539
1.5572,4.97343
1.5586,4.98148
1.56,4.98953
1.5614,4.99758
1.5628,5.00563
1.5642,5.01368
1.5656,5.02173
1.567,5.02978
1.5684,5.03783
1.5698,5.04587
1.5712,5.05392
1.5726,5.06197
1.574,5.07002
1.5754,5.07807
1.5768,5.08612
1.5782,5.09417
1.5796,5.10222
1.581,5.11027
1.5824,5.11831
1.5838,5.12636
1.5852,5.13441
1.5866,5.14246
1.588,5.15051
1.5894,5.15856
1.5908,5.16661
1.5922,5.17466
1.5936,5.1827
1.595,5.19075
1.5964,5.1988
1.5978,5.20685
1.5992,5.2149
1.6006,5.22295
1.602,5.231
1.6034,5.23905
1.6048,5.2471
1.6062,5.25514
1.6076,5.26319
1.609,5.27124
1.6104,5.27929
1.6118,5.28734
1.6132,5.29539
1.6146,5.30344
1.616,5.31149
1.6174,5.31953
1.6188,5.32758
1.6202,5.33563
1.6216,5.34368
1.623,5.35173
1.6244,5.35978
1.6258,5.36783
1.6272,5.37588
1.6286,5.38393
1.63,5.39197
1.6314,5.40002
1.6328,5.40807
1.6342,5.41612
1.6356,5.42417
1.637,5.43222
1.6384,5.44027
1.6398,5.44832
1.6412,5.45637
1.6426,5.46441
1.644,5.47246
1.6454,5.48051
1.6468,5.48856
1.6482,5.49661
1.6496,5.50466
1.651,5.51271
1.6524,5.52076
1.6538,5.5288
1.6552,5.53685
1.6566,5.5449
1.658,5.55295
1.6594,5.561
1.6608,5.56905
1.6622,5.5771
1.6636,5.58515
1.665,5.5932
1.6664,5.60124
1.6678,5.60929
1.6692,5.61734
1.6706,5.62539
1.672,5.63344
1.6734,5.64149
1.6748,5.64954
1.6762,5.65759
1.6776,5.66563
1.679,5.67368
1.6804,5.68173
1.6818,5.68978
1.6832,5.69783
1.6846,5.70588
1.686,5.71393
1.6874,5.72198
1.6888,5.73003
1.6902,5.73807
1.6916,5.74612
1.693,5.75417
1.6944,5.76222
1.6958,5.77027
1.6972,5.77832
1.6986,5.78637
1.7,5.79442
1.7014,5.80247
1.7028,5.81051
1.7042,5.81856
1.7056,5.82661
1.707,5.83466
1.7084,5.84271
1.7098,5.85076
1.7112,5.85881
1.7126,5.86686
1.714,5.8749
1.7154,5.88295
1.7168,5.891
1.7182,5.89905
1.7196,5.9071
1.721,5.91515
1.7224,5.9232
1.7238,5.93125
1.7252,5.9393
1.7266,5.94734
1.728,5.95539
1.7294,5.96344
1.7308,5.97149
1.7322,5.97954
1.7336,5.98759
1.735,5.99564
1.7364,6.00369
1.7378,6.01173
1.7392,6.01978
1.7406,6.02783
1.742,6.03588
1.7434,6.04393
1.7448,6.05198
1.7462,6.06003
1.7476,6.06808
1.749,6.07613
1.7504,6.08417
1.7518,6.09222
1.7532,6.10027
1.7546,6.10832
1.756,6.11637
1.7574,6.12442
1.7588,6.13247
1.7602,6.14052
1.7616,6.14856
1.763,6.15661
1.7644,6.16466
1.7658,6.17271
1.7672,6.18076
1.7686,6.18881
1.77,6.19686
1.7714,6.20491
1.7728,6.21296
1.7742,6.221
1.7756,6.22905
1.777,6.2371
1.7784,6.24515
1.7798,6.2532
1.7812,6.26125
1.7826,6.2693
1.784,6.27735
1.7854,6.2854
1.7868,6.29344
1.7882,6.30149
1.7896,6.30954
1.791,6.31759
1.7924,6.32564
1.7938,6.33369
1.7952,6.34174
1.7966,6.34979
1.798,6.35783
1.7994,6.36588
1.8008,6.37393
1.8022,6.38198
1.8036,6.39003
1.805,6.39808
1.8064,6.40613
1.8078,6.41418
1.8092,6.42223
1.8106,6.43027
1.812,6.43832
1.8134,6.44637
1.8148,6.45442
1.8162,6.46247
1.8176,6.47052
1.819,6.47857
1.8204,6.48662
1.8218,6.49466
1.8232,6.50271
1.8246,6.51076
1.826,6.51881
1.8274,6.52686
1.8288,6.53491
1.8302,6.54296
1.8316,6.55101
1.833,6.55906
1.8344,6.5671
1.8358,6.57515
1.8372,6.5832
1.8386,6.59125
1.84,6.5993
1.8414,6.60735
1.8428,6.6154
1.8442,6.62345
1.8456,6.6315
1.847,6.63954
1.8484,6.64759
1.8498,6.65564
1.8512,6.66369
1.8526,6.67174
1.854,6.67979
1.8554,6.68784
1.8568,6.69589
1.8582,6.70393
1.8596,6.71198
1.861,6.72003
1.8624,6.72808
1.8638,6.73613
1.8652,6.74418
1.8666,6.75223
1.868,6.76028
1.8694,6.76833
1.8708,6.77637
1.8722,6.78442
1.8736,6.79247
1.875,6.80052
1.8764,6.80857
1.8778,6.81662
1.8792,6.82467
1.8806,6.83272
1.882,6.84076
1.8834,6.84881
1.8848,6.85686
1.8862,6.86491
1.8876,6.87296
1.889,6.88101
1.8904,6.88906
1.8918,6.89711
1.8932,6.90516
1.8946,6.9132
1.896,6.92125
1.8974,6.9293
1.8988,6.93735
1.9002,6.9454
1.9016,6.95345
1.903,6.9615
1.9044,6.96955
1.9058,6.9776
1.9072,6.98564
1.9086,6.99369
1.91,7.00174
1.9114,7.00979
1.9128,7.01784
1.9142,7.02589
1.9156,7.03394
1.917,7.04199
1.9184,7.05003
1.9198,7.05808
1.9212,7.06613
1.9226,7.07418
1.924,7.08223
1.9254,7.09028
1.9268,7.09833
1.9282,7.10638
1.9296,7.11443
1.931,7.12247
1.9324,7.13052
1.9338,7.13857
1.9352,7.14662
1.9366,7.15467
1.938,7.16272
1.9394,7.17077
1.9408,7.17882
